Author,Title,Location,Author,,,,,,,,,,,
"van Bavel, Jay, Dominic J. Packer",The Power of Us: Harnessing our shared identities for personal and collective success,160,"Jay, Dominic J. Packer",van Bavel,,&,Dominic,J.,Packer,,,,,
"Lamberty, Pia, Katharina Nocun",Gefährlicher Glaube: Die radikale Gedankenwelt der Esoterik,160,"Pia, Katharina Nocun",Lamberty,&,Katharina,Nocun,,,,,,,
"Falconer, Kenneth",Fractal Geometry: Mathematical Foundations and Applications,,Kenneth,Falconer,,,,,,,,,,
"Newman, Mark",Networks: An Introduction,164,Mark,Newman,,,,,,,,,,
"Zaller, John R.",The Nature and Origins of Mass Opinion,165,John R.,Zaller,Zaller,,,,,,,,,
"Akerlof, Geroge A.","Identity Economis: How our Identities shape our work, wages, and well-being",E56,Geroge A.,Akerlof,Akerlof,&,Rachel,E.,Kranton,,,,,
"Goldin, Claudai",Career & Family: women's century-long journey toward equity,E56,Claudai,Goldin,,,,,,,,,,
"A., Osvaldo",Bayesian Modeling and Computation in Python,E56,Osvaldo,A.,"Martin,",Ravin,"Kumar,",Junpeng,Lao,,,,,
"C., Lester",The Future of Capitalism: How Today's Economic Forces Shape Tomorrow's World,E56,Lester,C.,Thurow,,,,,,,,,
"Gertner, Jon",The Idea Factory: Bell Labs and teh Great Age of American Innovation,165,Jon,Gertner,,,,,,,,,,
"R., F.","Manufacturing, Panning & Control for Supply Chain Management: The CPIM Reference (2nd ed.)",E56,F.,R.,"Jacobs,",W.,L.,"Berry,",D.,C.,"Whybark,",T.,E.,Vollmann
"Slack,, N.",Operations Management 10th ed.,E56,N.,"Slack,",A.,"Brandon-Jones,",N.,Burgess,,,,,,
"Weele, Arjan",Purchasing and Supply Chain Management,E56,Arjan,Weele,,,,,,,,,,
"S., Paul",On Computing: The Fourth Great Scientific Domain ,E56,Paul,S.,Rosenbloom,,,,,,,,,
"Swedberg, Richard",The Art of Social Theory,158a,Richard,Swedberg,,,,,,,,,,
"B., Anthony",Inequality: What Can Be Done?,158a,Anthony,B.,Atkinson,,,,,,,,,
"C., Lester",The Future of Capitalism,E56,Lester,C.,Thurow,,,,,,,,,
"van Weele, A. J.",Purchasing and Supply Chain Management,E56,A. J.,van Weele,van,Weele,,,,,,,,
"Frey, Carl Benedikt",The Technology Trap,158,Carl Benedikt,Frey,Frey,,,,,,,,,
"Polya, George",How to Solve It: A System of Thinking to help you solve any problem,158a,George,Polya,,,,,,,,,,
"Johnson, Steven",Where Good Ideas Come From,,Steven,Johnson,,,,,,,,,,
"Zachary, Mark",The Politics of Innovation: Why Some Countries Are Better Than Others at Science and Technology,165,Mark,Zachary,Taylor,,,,,,,,,
"Rutherford, Albert","The Art of Statistical Thinking: Detect Misinformation, Understand the World Deeper, and Make Better Decisions.",,Albert,Rutherford,,,,,,,,,,
"Nelson, Richard R.",An Evolutionary Theory of Economic Change,,Richard R.,Nelson,Nelson,,,,,,,,,
"Jayakrishnan, Nair","The Fundamentals of Heavy Tails: Properties, Emergence, And Estimation",E56,Nair,Jayakrishnan,,,,,,,,,,
", ",Gilgamesh: A New Translation of the Ancient Epic,156a,,,,,,,,,,,,
"Vega-Redondo, Fernanda",Complex Social Networks 2007,E56,Fernanda,Vega-Redondo,,,,,,,,,,
"Jackson, Matthew O.",Social and Economic Networks,E56,Matthew O.,Jackson,Jackson,,,,,,,,,
"Smil, Vaclav",Invention and Innovation: A Brief History of Hype and Failure,165,Vaclav,Smil,,,,,,,,,,
", ",Essential Mathematics for Economic Analysis,,,,,,,,,,,,,
